region_name,beans_market_price_tzs_mean,maize_market_price_tzs_mean,rice_paddy_market_price_tzs_mean,beans_market_price_tzs_median,maize_market_price_tzs_median,rice_paddy_market_price_tzs_median,beans_market_price_tzs_min,maize_market_price_tzs_min,rice_paddy_market_price_tzs_min,beans_market_price_tzs_max,maize_market_price_tzs_max,rice_paddy_market_price_tzs_max,beans_market_price_usd_mean,maize_market_price_usd_mean,rice_paddy_market_price_usd_mean,beans_market_observation_count,maize_market_observation_count,rice_paddy_market_observation_count,beans_market_count,maize_market_count,rice_paddy_market_count,beans_recent_market_price_tzs_mean,maize_recent_market_price_tzs_mean,rice_paddy_recent_market_price_tzs_mean,beans_recent_market_price_tzs_median,maize_recent_market_price_tzs_median,rice_paddy_recent_market_price_tzs_median,beans_recent_market_price_usd_mean,maize_recent_market_price_usd_mean,rice_paddy_recent_market_price_usd_mean
Iringa,,38182.39072033899,128729.55360515021,,35243.055,135000.0,,0.0,0.0,,120000.0,319090.91,,20.79534322033898,70.5443755364807,,236.0,233.0,,1.0,1.0,,32138.508771929824,105240.08771929824,,32923.0,153750.0,,13.860943859649122,45.417659649122804
Kagera,101113.54878172588,48572.33064814815,115632.07018518519,106100.0,51875.0,124827.0,0.0,0.0,0.0,276364.0,121909.0,301500.0,52.73804720812183,26.21694212962963,62.43723796296296,197.0,216.0,216.0,1.0,1.0,1.0,87409.80701754386,40270.333333333336,100130.0350877193,115000.0,37429.0,125000.0,37.711217543859654,17.36871754385965,43.192577192982455
Kilimanjaro,137287.57582474226,47905.186451612906,134354.38578703703,154861.0,48944.44,150000.0,0.0,0.0,0.0,350000.0,150000.0,348214.0,72.98209072164948,25.9087935483871,73.56132824074074,194.0,217.0,216.0,1.0,1.0,1.0,98896.1,36741.56,98422.34,0.0,0.0,0.0,42.730655999999996,15.869346,42.522518
Mbeya,137007.34135338344,40494.16300492611,126003.45954545453,135000.0,39454.55,126742.33499999999,41100.0,0.0,0.0,270000.0,120000.0,287500.0,73.67543157894737,22.476910837438425,71.11605707070707,133.0,203.0,198.0,2.0,2.0,2.0,214382.54545454544,41710.4,117843.75,228875.0,36500.0,121250.0,92.4040909090909,17.966645,50.771744999999996
