region_name,s4a_point_count,s4a_mean_distance_km,s4a_mean_altitude,s4a_min_altitude,s4a_max_altitude,s4a_erosion_share,s4a_bare_soil_share,s4a_animal_manure_share,s4a_inorganic_input_share,s4a_rainfed_share,s4a_irrigated_share,s4a_cultivated_land_share,s4a_aquatic_land_share,s4a_cereal_share,s4a_pulses_share,s4a_fruits_share,s4a_semi_luxury_share,rainfall_total_2023_24,rainfall_mean_monthly_2023_24,rainfall_min_monthly_2023_24,rainfall_max_monthly_2023_24,rainfall_vuli_total,rainfall_masika_total,s4a_dominant_slope_class,s4a_dominant_field_size,s4a_dominant_water_supply,s4a_dominant_main_land_use,soil_al_mean,soil_al_median,soil_al_min,soil_al_max,soil_n_mean,soil_n_median,soil_n_min,soil_n_max,soil_p_mean,soil_p_median,soil_p_min,soil_p_max,soil_k_mean,soil_k_median,soil_k_min,soil_k_max,soil_ph_mean,soil_ph_median,soil_ph_min,soil_ph_max,soil_bdod_0_5cm_mean,soil_bdod_0_5cm_median,soil_bdod_0_5cm_min,soil_bdod_0_5cm_max,s4a_assignment_method,s4a_source,s4a_source_url
Iringa,56,63.37749710032022,1482.6607142857142,758.0,1942.0,0.08928571428571429,0.125,0.0,0.03571428571428571,0.9642857142857143,0.03571428571428571,0.625,0.0,0.5,0.0,0.017857142857142856,0.03571428571428571,1566.5704515284037,130.54753762736698,3.2637127788914166,436.5736863272531,302.4627663918904,478.7524630171912,Very gently sloping (0.5 - 2.0%),,Rainfed,Cultivated and managed land (terrestial area),518.5714285714286,560.0,316.0,756.0,916.9821428571429,767.5,483.0,2193.0,1101.3392857142858,992.5,716.0,1967.0,188.125,181.0,135.0,325.0,5.8446428571428575,5.75,5.4,6.6000000000000005,123.39285714285714,121.0,110.0,142.0,ward_shapefile,local_geopackage,https://africasis.isric.org/ows/s4a_field_data
Kagera,70,115.07883076835361,1343.6571428571428,1128.0,1698.0,0.08571428571428572,0.0,0.08571428571428572,0.0,0.9714285714285714,0.02857142857142857,0.4714285714285714,0.1,0.1,0.04285714285714286,0.15714285714285714,0.04285714285714286,1322.8390883096627,110.23659069247189,9.019047012499401,290.49418683733256,545.8167363848005,474.4777062007359,Flat (0 - 0.5%),1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Rainfed,Cultivated and managed land (terrestial area),962.6571428571428,954.0,749.0,1448.0,1447.7285714285715,1385.0,811.0,2236.0,1407.0,1233.0,538.0,3049.0,171.42857142857142,160.0,57.0,480.0,5.708571428571429,5.800000000000001,5.1000000000000005,6.1000000000000005,124.56521739130434,126.0,107.0,133.0,ward_shapefile,local_geopackage,https://africasis.isric.org/ows/s4a_field_data
Kilimanjaro,8,39.24971950627732,1155.125,949.0,1376.0,0.25,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,1204.9884916534647,100.41570763778873,2.0731098046526313,350.7781734466553,486.8703966140747,485.18953943252563,Flat (0 - 0.5%),,Rainfed,Cultivated and managed land (terrestial area),815.0,813.5,784.0,842.0,1748.625,1569.0,1505.0,2800.0,3375.75,3411.0,2817.0,3952.0,1156.75,1077.5,668.0,1886.0,7.3500000000000005,7.3500000000000005,7.2,7.5,118.875,119.0,117.0,121.0,ward_shapefile,local_geopackage,https://africasis.isric.org/ows/s4a_field_data
Mbeya,60,74.63479146925992,1324.3,934.0,2168.0,0.21666666666666667,0.1,0.3,0.2833333333333333,0.9333333333333333,0.06666666666666667,0.45,0.1,0.4166666666666667,0.0,0.0,0.0,1186.1866808844302,98.8488900737025,0.3851396204697385,320.1959543863932,374.06237256129583,283.2524940473338,Flat (0 - 0.5%),,Rainfed,Cultivated and managed land (terrestial area),573.9833333333333,590.0,354.0,719.0,737.1833333333333,674.0,444.0,1640.0,1038.5333333333333,1071.5,601.0,2032.0,272.45,211.5,103.0,670.0,5.98,6.0,5.5,7.0,129.41666666666666,129.0,110.0,145.0,ward_shapefile,local_geopackage,https://africasis.isric.org/ows/s4a_field_data
