technique,models_compared,mean_comparison_score,mean_local_fidelity,mean_faithfulness_probability_drop,mean_stability_jaccard,mean_sparsity,mean_coverage,mean_runtime_seconds,overall_rank,decision
SHAP,6,0.6788291408246147,0.8224628311406409,0.09204946943172727,0.867845117845118,0.9438575899843505,1.0,2.774552595833231,1,best
Anchors,6,0.4785491284865406,0.7367884088421262,0.04161591020866431,0.4260085978835979,0.9735915492957746,0.27708333333333335,0.03535054444480718,2,candidate
LIME,6,0.4202423900716626,0.39583492955684646,0.054050908223042295,0.3691062024395358,0.9436619718309859,1.0,0.038371495833063006,3,candidate
